Reactions,Upper bounds,Flux Balance,Fraction
MAR01942,0,-0,0
MAR02002,137,-137,-1
MAR02004,362.9,-362.9,-1
MAR02007,45.97,0,0
MAR07930,3,3,1
MAR07973,3,3,1
MAR07976,362.9,-147,-0.405070267291265
MAR01944,8.16,5.00000000000006,0.612745098039223
MAR01959,8.16,8.16,1
MAR01973,362.9,74,0.203912923670433
MAR01976,137,-137,-1
MAR02016,189.35,68.28,0.360602059677845
MAR01981,8.16,-2.99999999999997,-0.367647058823526
MAR01988,45.97,0,0
MAR10066,10,-10,-1
HSD3B12r,3,-0.999999999999943,-0.333333333333314
SR5AR2r,137,137,1
MAR07955,210,-210,-1
17OHP4_to_5α-pregnan-17α-ol-3;20-dione_via_SRD5A1,137,2.8421709430404e-14,2.07457733068642e-16
17OHP5_to_17αA5_via_AKR1C1,362.9,-6.15999999999994,-0.0169743731055386
17αA5_to_EpiT_via_3βHSD1,3,0,0
20αDHP_to_5α-pregnan-20-ol-3-one_via_SRD5A1,137,-137,-1
3αDIOL_to_AN_via_17βHSD10,362.9,-199.28,-0.549131992284376
3αDIOL_to_DHT_via_17βHSD6,189.35,-189.35,-1
3βDIOL_to_EPI_via_17βHSD1,161.62,-161.62,-1
5α-pregnan-17α-ol-3;20-dione_to_5α-pregnan-3;17α-diol-20-one_via_AKR1C1,362.9,-8.15999999999997,-0.0224855332047395
5α-pregnan-17α-ol-3;20-dione_to_androstanedione_via_CYP17A1,8.16,8.16,1
5α-pregnan-20-ol-3-one_to_5αDHP_via_17βHSD2,10,-10,-1
5α-pregnan-20-ol-3-one_to_allopregnandiol_via_AKR1C1,362.9,235.9,0.650041333700744
5α-pregnan-3;17α-diol-20-one_to_AN_via_CYP17A1,8.16,2.8421709430404e-14,3.483052626275e-15
5αDHP_to_5α-pregnan-20-ol-3-one_via_AKR1C1,362.9,362.9,1
5αDHP_to_androstanedione_via_CYP17A1,8.16,-8.16,-1
A5_to_DHEA_via_17βHSD2,10,-10,-1
A5_to_T_via_3βHSD1,3,3,1
AN_to_3αDIOL_via_17βHSD15,71,-71,-1
AN_to_EPI_via_17βHSD6,30,-30,-1
AN_to_androstanedione_via_17βHSD6,30,-30,-1
DHEA_to_17αA5_via_AKR1C1,362.9,6.15999999999994,0.0169743731055386
DHEA_to_A5_via_17βHSD1,163,-7,-0.0429447852760736
DHT_to_3αDIOL_via_AKR1C1,362.9,-317.63,-0.875254891154588
DHT_to_3βDIOL_via_17βHSD1,362.9,-161.62,-0.445356847616423
DHT_to_androstanedione_via_17βHSD1,210,-210,-1
HMR_2003,210,-135.16,-0.643619047619048
HSD17B1,362.9,4,0.0110223201984018
MAR01995,0,-0,0
MAR07935,18.15,8.00000000000006,0.440771349862262
MAR07940,4,4,1
MAR07941,4,4,1
MAR07942,36,-36,-1
MAR07943,131,-36,-0.274809160305344
P_to_3αDHP_via_DHRS11,71,0,0
P_to_A4_via_CYP17A1,8.16,5.99999999999994,0.735294117647052
THP_to_5α-pregnan-3;17α-diol-20-one_via_CYP17A1,8.16,8.16,1
THP_to_allopregnandiol_via_AKR1C1,362.9,-245.9,-0.677597134196748
allopregnandiol_to_THP_via_17βHSD2,10,-10,-1
androstanedione_to_DHT_via_17βHSD15,362.9,-362.9,-1
androstanedione_to_EPI_via_AKR1C1,362.9,191.62,0.528024249104437
sink_MAM01787,10000,8,0.0008
sink_MAM01450,10000,-8.00000000000006,-0.000800000000000006
