Reactions,Upper bounds,Flux Balance,Fraction
MAR01942,0,-0,0
MAR02002,137,0,0
MAR02004,362.9,-0,-0
MAR02007,45.97,0,0
MAR07930,3,3,1
MAR07973,3,-0,-0
MAR07976,362.9,-0,-0
MAR01944,8.16,5,0.612745098039216
MAR01959,8.16,5,0.612745098039216
MAR01973,362.9,1,0.00275558004960044
MAR01976,137,-0,-0
MAR02016,189.35,-0,-0
MAR01981,8.16,-0,-0
MAR01988,45.97,0,0
MAR10066,10,-0,-0
HSD3B12r,3,2,0.666666666666667
SR5AR2r,137,-0,-0
MAR07955,210,-0,-0
17OHP4_to_5α-pregnan-17α-ol-3;20-dione_via_SRD5A1,137,0,0
17OHP5_to_17αA5_via_AKR1C1,362.9,-0,-0
17αA5_to_EpiT_via_3βHSD1,3,0,0
20αDHP_to_5α-pregnan-20-ol-3-one_via_SRD5A1,137,0,0
3αDIOL_to_AN_via_17βHSD10,362.9,-0,-0
3αDIOL_to_DHT_via_17βHSD6,189.35,-0,-0
3βDIOL_to_EPI_via_17βHSD1,161.62,-0,-0
5α-pregnan-17α-ol-3;20-dione_to_5α-pregnan-3;17α-diol-20-one_via_AKR1C1,362.9,-0,-0
5α-pregnan-17α-ol-3;20-dione_to_androstanedione_via_CYP17A1,8.16,0,0
5α-pregnan-20-ol-3-one_to_5αDHP_via_17βHSD2,10,-0,-0
5α-pregnan-20-ol-3-one_to_allopregnandiol_via_AKR1C1,362.9,-0,-0
5α-pregnan-3;17α-diol-20-one_to_AN_via_CYP17A1,8.16,-0,-0
5αDHP_to_5α-pregnan-20-ol-3-one_via_AKR1C1,362.9,0,0
5αDHP_to_androstanedione_via_CYP17A1,8.16,-0,-0
A5_to_DHEA_via_17βHSD2,10,-0,-0
A5_to_T_via_3βHSD1,3,3,1
AN_to_3αDIOL_via_17βHSD15,71,-0,-0
AN_to_EPI_via_17βHSD6,30,-0,-0
AN_to_androstanedione_via_17βHSD6,30,0,0
DHEA_to_17αA5_via_AKR1C1,362.9,-0,-0
DHEA_to_A5_via_17βHSD1,163,3,0.0184049079754601
DHT_to_3αDIOL_via_AKR1C1,362.9,0,0
DHT_to_3βDIOL_via_17βHSD1,362.9,0,0
DHT_to_androstanedione_via_17βHSD1,210,-0,-0
HMR_2003,210,0,0
HSD17B1,362.9,4,0.0110223201984018
MAR01995,0,-0,0
MAR07935,18.15,8,0.440771349862259
MAR07940,4,4,1
MAR07941,4,4,1
MAR07942,36,-0,-0
MAR07943,131,0,0
P_to_3αDHP_via_DHRS11,71,0,0
P_to_A4_via_CYP17A1,8.16,3,0.367647058823529
THP_to_5α-pregnan-3;17α-diol-20-one_via_CYP17A1,8.16,0,0
THP_to_allopregnandiol_via_AKR1C1,362.9,-0,-0
allopregnandiol_to_THP_via_17βHSD2,10,0,0
androstanedione_to_DHT_via_17βHSD15,362.9,0,0
androstanedione_to_EPI_via_AKR1C1,362.9,-0,-0
sink_MAM01787,10000,8,0.0008
sink_MAM01450,10000,-8,-0.0008
