Reactions,Upper bounds,Flux Balance,Fraction
MAR01942,9,0,0
MAR02002,2020.94,-1577.77,-0.780710956287668
MAR02004,445,-445,-1
MAR02007,96.32,0,0
MAR07930,6,6,1
MAR07973,6,-5,-0.833333333333333
MAR07976,445,-445,-1
MAR01944,7,7,1
MAR01959,7,7,1
MAR01973,445,114,0.256179775280899
MAR01976,2020.94,-1318,-0.652171761655467
MAR02016,66.86,66.86,1
MAR01981,7,-1.00000000000011,-0.142857142857159
MAR01988,96.32,0,0
MAR10066,1351.91,1118.77,0.827547691784216
HSD3B12r,6,6,1
SR5AR2r,2020.94,1310,0.648213207715222
MAR07955,1431,-1431,-1
17OHP4_to_5α-pregnan-17α-ol-3;20-dione_via_SRD5A1,2020.94,-6.00000000000011,-0.00296891545518428
17OHP5_to_17αA5_via_AKR1C1,445,5,0.0112359550561798
17αA5_to_EpiT_via_3βHSD1,6,0,0
20αDHP_to_5α-pregnan-20-ol-3-one_via_SRD5A1,2020.94,-1563.77,-0.773783486892238
3αDIOL_to_AN_via_17βHSD10,1431,-326.86,-0.228413696715584
3αDIOL_to_DHT_via_17βHSD6,66.86,-66.86,-1
3βDIOL_to_EPI_via_17βHSD1,284.63,-208.14,-0.73126515124899
5α-pregnan-17α-ol-3;20-dione_to_5α-pregnan-3;17α-diol-20-one_via_AKR1C1,445,0,0
5α-pregnan-17α-ol-3;20-dione_to_androstanedione_via_CYP17A1,7,-6.00000000000011,-0.857142857142873
5α-pregnan-20-ol-3-one_to_5αDHP_via_17βHSD2,1351.91,-1351.91,-1
5α-pregnan-20-ol-3-one_to_allopregnandiol_via_AKR1C1,445,-445,-1
5α-pregnan-3;17α-diol-20-one_to_AN_via_CYP17A1,7,7,1
5αDHP_to_5α-pregnan-20-ol-3-one_via_AKR1C1,233.14,-233.14,-1
5αDHP_to_androstanedione_via_CYP17A1,7,7,1
A5_to_DHEA_via_17βHSD2,1351.91,-451,-0.33360208889645
A5_to_T_via_3βHSD1,6,6,1
AN_to_3αDIOL_via_17βHSD15,203,-203,-1
AN_to_EPI_via_17βHSD6,25,-25,-1
AN_to_androstanedione_via_17βHSD6,25,-25,-1
DHEA_to_17αA5_via_AKR1C1,445,-5,-0.0112359550561798
DHEA_to_A5_via_17βHSD1,445,-445,-1
DHT_to_3αDIOL_via_AKR1C1,445,-190.72,-0.428584269662921
DHT_to_3βDIOL_via_17βHSD1,284.63,-208.14,-0.73126515124899
DHT_to_androstanedione_via_17βHSD1,1431,-1431,-1
HMR_2003,1431,-897,-0.626834381551363
HSD17B1,445,5.99999999999989,0.0134831460674155
MAR01995,9,0,0
MAR07935,82,13,0.158536585365854
MAR07940,7,5.99999999999989,0.857142857142841
MAR07941,7,7,1
MAR07942,25,-25,-1
MAR07943,1358,-25,-0.0184094256259205
P_to_3αDHP_via_DHRS11,203,0,0
P_to_A4_via_CYP17A1,7,-7,-1
THP_to_5α-pregnan-3;17α-diol-20-one_via_CYP17A1,7,7,1
THP_to_allopregnandiol_via_AKR1C1,233.14,-233.14,-1
allopregnandiol_to_THP_via_17βHSD2,1351.91,-678.14,-0.501616231849753
androstanedione_to_DHT_via_17βHSD15,445,-445,-1
androstanedione_to_EPI_via_AKR1C1,233.14,233.14,1
sink_MAM01787,10000,12.9999999999999,0.00129999999999999
sink_MAM01450,10000,-13,-0.0013
