Reactions,Upper bounds,Flux Balance,Fraction
MAR01942,9,0,0
MAR02002,2020.94,0,0
MAR02004,445,-0,-0
MAR02007,96.32,0,0
MAR07930,6,6,1
MAR07973,6,-0,-0
MAR07976,445,-0,-0
MAR01944,7,7,1
MAR01959,7,7,1
MAR01973,445,-0,-0
MAR01976,2020.94,-0,-0
MAR02016,66.86,-0,-0
MAR01981,7,-0,-0
MAR01988,96.32,-0,-0
MAR10066,1351.91,-0,-0
HSD3B12r,6,1,0.166666666666667
SR5AR2r,2020.94,-0,-0
MAR07955,1431,-0,-0
17OHP4_to_5α-pregnan-17α-ol-3;20-dione_via_SRD5A1,2020.94,0,0
17OHP5_to_17αA5_via_AKR1C1,445,-0,-0
17αA5_to_EpiT_via_3βHSD1,6,0,0
20αDHP_to_5α-pregnan-20-ol-3-one_via_SRD5A1,2020.94,0,0
3αDIOL_to_AN_via_17βHSD10,1431,-0,-0
3αDIOL_to_DHT_via_17βHSD6,66.86,-0,-0
3βDIOL_to_EPI_via_17βHSD1,284.63,-0,-0
5α-pregnan-17α-ol-3;20-dione_to_5α-pregnan-3;17α-diol-20-one_via_AKR1C1,445,0,0
5α-pregnan-17α-ol-3;20-dione_to_androstanedione_via_CYP17A1,7,0,0
5α-pregnan-20-ol-3-one_to_5αDHP_via_17βHSD2,1351.91,-0,-0
5α-pregnan-20-ol-3-one_to_allopregnandiol_via_AKR1C1,445,-0,-0
5α-pregnan-3;17α-diol-20-one_to_AN_via_CYP17A1,7,-0,-0
5αDHP_to_5α-pregnan-20-ol-3-one_via_AKR1C1,233.14,0,0
5αDHP_to_androstanedione_via_CYP17A1,7,-0,-0
A5_to_DHEA_via_17βHSD2,1351.91,-0,-0
A5_to_T_via_3βHSD1,6,6,1
AN_to_3αDIOL_via_17βHSD15,203,-0,-0
AN_to_EPI_via_17βHSD6,25,-0,-0
AN_to_androstanedione_via_17βHSD6,25,0,0
DHEA_to_17αA5_via_AKR1C1,445,-0,-0
DHEA_to_A5_via_17βHSD1,445,6,0.0134831460674157
DHT_to_3αDIOL_via_AKR1C1,445,0,0
DHT_to_3βDIOL_via_17βHSD1,284.63,0,0
DHT_to_androstanedione_via_17βHSD1,1431,-0,-0
HMR_2003,1431,0,0
HSD17B1,445,7,0.0157303370786517
MAR01995,9,0,0
MAR07935,82,13,0.158536585365854
MAR07940,7,7,1
MAR07941,7,6,0.857142857142857
MAR07942,25,-0,-0
MAR07943,1358,0,0
P_to_3αDHP_via_DHRS11,203,0,0
P_to_A4_via_CYP17A1,7,6,0.857142857142857
THP_to_5α-pregnan-3;17α-diol-20-one_via_CYP17A1,7,-0,-0
THP_to_allopregnandiol_via_AKR1C1,233.14,-0,-0
allopregnandiol_to_THP_via_17βHSD2,1351.91,0,0
androstanedione_to_DHT_via_17βHSD15,445,0,0
androstanedione_to_EPI_via_AKR1C1,233.14,-0,-0
sink_MAM01787,10000,13,0.0013
sink_MAM01450,10000,-13,-0.0013
