Reactions,Upper bounds,Flux Balance,Fraction
MAR01942,0,-0,0
MAR02002,299.44,-139.48,-0.465802831952979
MAR02004,90.5,-90.5,-1
MAR02007,30.375,0,0
MAR07930,2,2,1
MAR07973,2,2.00000000000003,1.00000000000001
MAR07976,167.42,-167.42,-1
MAR01944,3.03,-1.99999999999997,-0.660066006600651
MAR01959,3.03,3.03,1
MAR01973,129,28.06,0.217519379844961
MAR01976,299.44,-299.44,-1
MAR02016,22.6,-22.6,-1
MAR01981,3.03,-3.03,-1
MAR01988,30.375,0,0
MAR10066,34,-34,-1
HSD3B12r,2,-2,-1
SR5AR2r,299.44,294.41,0.983201977023778
MAR07955,325.5,-325.5,-1
17OHP4_to_5α-pregnan-17α-ol-3;20-dione_via_SRD5A1,299.44,-1.02999999999997,-0.00343975420785457
17OHP5_to_17αA5_via_AKR1C1,90.5,-7.03,-0.0776795580110497
17αA5_to_EpiT_via_3βHSD1,2,0,0
20αDHP_to_5α-pregnan-20-ol-3-one_via_SRD5A1,299.44,-133.42,-0.445565054768902
3αDIOL_to_AN_via_17βHSD10,325.5,-111.37,-0.342150537634409
3αDIOL_to_DHT_via_17βHSD6,22.6,-22.6,-1
3βDIOL_to_EPI_via_17βHSD1,167.42,-67.465,-0.402968582009318
5α-pregnan-17α-ol-3;20-dione_to_5α-pregnan-3;17α-diol-20-one_via_AKR1C1,90.5,-4.05999999999997,-0.0448618784530384
5α-pregnan-17α-ol-3;20-dione_to_androstanedione_via_CYP17A1,3.03,3.03,1
5α-pregnan-20-ol-3-one_to_5αDHP_via_17βHSD2,34,-34,-1
5α-pregnan-20-ol-3-one_to_allopregnandiol_via_AKR1C1,90.5,-28.955,-0.319944751381216
5α-pregnan-3;17α-diol-20-one_to_AN_via_CYP17A1,3.03,-1.02999999999997,-0.339933993399331
5αDHP_to_5α-pregnan-20-ol-3-one_via_AKR1C1,70.465,70.465,1
5αDHP_to_androstanedione_via_CYP17A1,3.03,3.03,1
A5_to_DHEA_via_17βHSD2,34,-34,-1
A5_to_T_via_3βHSD1,2,-2,-1
AN_to_3αDIOL_via_17βHSD15,129,-129,-1
AN_to_EPI_via_17βHSD6,3,-3,-1
AN_to_androstanedione_via_17βHSD6,3,-3,-1
DHEA_to_17αA5_via_AKR1C1,90.5,7.03,0.0776795580110497
DHEA_to_A5_via_17βHSD1,167.42,-36,-0.215028073109545
DHT_to_3αDIOL_via_AKR1C1,90.5,-4.97000000000003,-0.0549171270718235
DHT_to_3βDIOL_via_17βHSD1,167.42,-67.465,-0.402968582009318
DHT_to_androstanedione_via_17βHSD1,325.5,-325.5,-1
HMR_2003,325.5,-122.485,-0.376298003072197
HSD17B1,167.42,-0,-0
MAR01995,0,-0,0
MAR07935,24.265,2.66453525910038e-14,1.09809819043906e-15
MAR07940,0,-0,0
MAR07941,0,-0,0
MAR07942,2.5,-2.5,-1
MAR07943,468,-2.5,-0.00534188034188034
P_to_3αDHP_via_DHRS11,129,0,0
P_to_A4_via_CYP17A1,3.03,-1.03,-0.33993399339934
THP_to_5α-pregnan-3;17α-diol-20-one_via_CYP17A1,3.03,3.03,1
THP_to_allopregnandiol_via_AKR1C1,70.465,-5.04499999999999,-0.0715958277158871
allopregnandiol_to_THP_via_17βHSD2,34,-34,-1
androstanedione_to_DHT_via_17βHSD15,129,-75.895,-0.588333333333333
androstanedione_to_EPI_via_AKR1C1,70.465,70.465,1
sink_MAM01787,10000,-0,-0
sink_MAM01450,10000,-2.66453525910038e-14,-2.66453525910038e-18
