Reactions,Upper bounds,Flux Balance,Fraction
MAR01942,0,-0,0
MAR02002,299.44,-0,-0
MAR02004,90.5,-0,-0
MAR02007,30.375,0,0
MAR07930,2,0,0
MAR07973,2,-0,-0
MAR07976,167.42,-0,-0
MAR01944,3.03,0,0
MAR01959,3.03,-0,-0
MAR01973,129,-0,-0
MAR01976,299.44,-0,-0
MAR02016,22.6,-0,-0
MAR01981,3.03,-0,-0
MAR01988,30.375,0,0
MAR10066,34,-0,-0
HSD3B12r,2,-0,-0
SR5AR2r,299.44,-0,-0
MAR07955,325.5,-0,-0
17OHP4_to_5α-pregnan-17α-ol-3;20-dione_via_SRD5A1,299.44,0,0
17OHP5_to_17αA5_via_AKR1C1,90.5,-0,-0
17αA5_to_EpiT_via_3βHSD1,2,0,0
20αDHP_to_5α-pregnan-20-ol-3-one_via_SRD5A1,299.44,0,0
3αDIOL_to_AN_via_17βHSD10,325.5,-0,-0
3αDIOL_to_DHT_via_17βHSD6,22.6,-0,-0
3βDIOL_to_EPI_via_17βHSD1,167.42,-0,-0
5α-pregnan-17α-ol-3;20-dione_to_5α-pregnan-3;17α-diol-20-one_via_AKR1C1,90.5,-0,-0
5α-pregnan-17α-ol-3;20-dione_to_androstanedione_via_CYP17A1,3.03,0,0
5α-pregnan-20-ol-3-one_to_5αDHP_via_17βHSD2,34,-0,-0
5α-pregnan-20-ol-3-one_to_allopregnandiol_via_AKR1C1,90.5,-0,-0
5α-pregnan-3;17α-diol-20-one_to_AN_via_CYP17A1,3.03,-0,-0
5αDHP_to_5α-pregnan-20-ol-3-one_via_AKR1C1,70.465,0,0
5αDHP_to_androstanedione_via_CYP17A1,3.03,-0,-0
A5_to_DHEA_via_17βHSD2,34,-0,-0
A5_to_T_via_3βHSD1,2,0,0
AN_to_3αDIOL_via_17βHSD15,129,-0,-0
AN_to_EPI_via_17βHSD6,3,-0,-0
AN_to_androstanedione_via_17βHSD6,3,0,0
DHEA_to_17αA5_via_AKR1C1,90.5,-0,-0
DHEA_to_A5_via_17βHSD1,167.42,0,0
DHT_to_3αDIOL_via_AKR1C1,90.5,0,0
DHT_to_3βDIOL_via_17βHSD1,167.42,0,0
DHT_to_androstanedione_via_17βHSD1,325.5,-0,-0
HMR_2003,325.5,0,0
HSD17B1,167.42,-0,-0
MAR01995,0,-0,0
MAR07935,24.265,0,0
MAR07940,0,-0,0
MAR07941,0,-0,0
MAR07942,2.5,-0,-0
MAR07943,468,0,0
P_to_3αDHP_via_DHRS11,129,0,0
P_to_A4_via_CYP17A1,3.03,0,0
THP_to_5α-pregnan-3;17α-diol-20-one_via_CYP17A1,3.03,0,0
THP_to_allopregnandiol_via_AKR1C1,70.465,-0,-0
allopregnandiol_to_THP_via_17βHSD2,34,0,0
androstanedione_to_DHT_via_17βHSD15,129,0,0
androstanedione_to_EPI_via_AKR1C1,70.465,-0,-0
sink_MAM01787,10000,-0,-0
sink_MAM01450,10000,-0,-0
