Reactions,Upper bounds,Flux Balance
MAR01942,0,-0
MAR02002,137,-137
MAR02004,362.9,-91.16
MAR02007,45.97,0
MAR07930,3,3
MAR07973,3,0
MAR07976,362.9,-130.68
MAR01944,8.16,4.99999999999997
MAR01959,8.16,8.16
MAR01973,362.9,75
MAR01976,137,-137
MAR02016,189.35,133.54
MAR01981,8.16,-8.16
MAR01988,45.97,0
MAR10066,10,-10
HSD3B12r,3,3
SR5AR2r,137,128.84
MAR07955,210,-210
17OHP4_to_5α-pregnan-17α-ol-3;20-dione_via_SRD5A1,137,-8.16
17OHP5_to_17αA5_via_AKR1C1,362.9,-3.16000000000003
17αA5_to_EpiT_via_3βHSD1,3,0
20αDHP_to_5α-pregnan-20-ol-3-one_via_SRD5A1,137,-120.68
3αDIOL_to_AN_via_17βHSD10,362.9,-185.38
3αDIOL_to_DHT_via_17βHSD6,189.35,185.38
3βDIOL_to_EPI_via_17βHSD1,161.62,-161.62
5α-pregnan-17α-ol-3;20-dione_to_5α-pregnan-3;17α-diol-20-one_via_AKR1C1,362.9,-16.32
5α-pregnan-17α-ol-3;20-dione_to_androstanedione_via_CYP17A1,8.16,8.16
5α-pregnan-20-ol-3-one_to_5αDHP_via_17βHSD2,10,-10
5α-pregnan-20-ol-3-one_to_allopregnandiol_via_AKR1C1,362.9,-110.68
5α-pregnan-3;17α-diol-20-one_to_AN_via_CYP17A1,8.16,-8.16
5αDHP_to_androstanedione_via_CYP17A1,8.16,8.16
A5_to_DHEA_via_17βHSD2,10,-1.99999999999997
A5_to_T_via_3βHSD1,3,1.99999999999997
AN_to_EPI_via_17βHSD6,30,-30
AN_to_androstanedione_via_17βHSD6,30,-30
DHEA_to_17αA5_via_AKR1C1,362.9,3.16000000000003
DHT_to_3βDIOL_via_17βHSD1,362.9,-161.62
DHT_to_androstanedione_via_17βHSD1,210,210
HMR_2003,210,-210
HSD17B1,362.9,4
MAR01995,0,-0
MAR07935,18.15,7.99999999999997
MAR07940,4,4
MAR07941,4,4
MAR07942,36,-0
P_to_3αDHP_via_DHRS11,71,0
P_to_A4_via_CYP17A1,8.16,-5.16
THP_to_5α-pregnan-3;17α-diol-20-one_via_CYP17A1,8.16,8.16
THP_to_allopregnandiol_via_AKR1C1,362.9,110.68
androstanedione_to_EPI_via_AKR1C1,362.9,191.62
sink_MAM01787,10000,8
sink_MAM01450,10000,-7.99999999999997
